Gene stable ID,Gene name
ENSG00000130943,PKDREJ
ENSG00000100030,MAPK1
ENSG00000170345,FOS
ENSG00000291555,RTP4
ENSG00000284792,PTEN
ENSG00000291971,SRC
ENSG00000276561,IRF7
ENSG00000276536,HRAS
ENSG00000142192,APP
ENSG00000050820,BCAR1
ENSG00000196664,TLR7
ENSG00000262243,CES1
ENSG00000277943,CCL4
ENSG00000096968,JAK2
ENSG00000275824,CCL4
ENSG00000274233,CCL5
ENSG00000121858,TNFSF10
ENSG00000125538,IL1B
ENSG00000102882,MAPK3
ENSG00000185897,FFAR3
ENSG00000197122,SRC
ENSG00000109471,IL2
ENSG00000162692,VCAM1
ENSG00000136514,RTP4
ENSG00000262418,PTPRC
ENSG00000164111,ANXA5
ENSG00000169896,ITGAM
ENSG00000182718,ANXA2
ENSG00000090339,ICAM1
ENSG00000075624,ACTB
ENSG00000228978,TNF
ENSG00000138646,HERC5
ENSG00000107643,MAPK8
ENSG00000204490,TNF
ENSG00000228321,TNF
ENSG00000230108,TNF
ENSG00000105939,ZC3HAV1
ENSG00000138755,CXCL9
ENSG00000169245,CXCL10
ENSG00000169248,CXCL11
ENSG00000100453,GZMB
ENSG00000170323,FABP4
ENSG00000228849,TNF
ENSG00000157404,KIT
ENSG00000223952,TNF
ENSG00000163735,CXCL5
ENSG00000136869,TLR4
ENSG00000169429,CXCL8
ENSG00000130203,APOE
ENSG00000185338,SOCS1
ENSG00000126561,STAT5A
ENSG00000206439,TNF
ENSG00000138798,EGF
ENSG00000110955,ATP5F1B
ENSG00000165527,ARF6
ENSG00000111640,GAPDH
ENSG00000164342,TLR3
ENSG00000164305,CASP3
ENSG00000080824,HSP90AA1
ENSG00000239732,TLR9
ENSG00000115414,FN1
ENSG00000136997,MYC
ENSG00000232810,TNF
ENSG00000136244,IL6
ENSG00000099194,SCD
ENSG00000055332,EIF2AK2
ENSG00000113520,IL4
ENSG00000182578,CSF1R
ENSG00000146648,EGFR
ENSG00000107201,RIGI
ENSG00000142208,AKT1
ENSG00000171862,PTEN
ENSG00000026508,CD44
ENSG00000043462,LCP2
ENSG00000134326,CMPK2
ENSG00000122194,PLG
ENSG00000112715,VEGFA
ENSG00000108691,CCL2
ENSG00000096401,CDC5L
ENSG00000163631,ALB
ENSG00000160791,CCR5
ENSG00000137462,TLR2
ENSG00000254647,INS
ENSG00000110848,CD69
ENSG00000173039,RELA
ENSG00000198848,CES1
ENSG00000185507,IRF7
ENSG00000169194,IL13
ENSG00000135114,OASL
ENSG00000275302,CCL4
ENSG00000111537,IFNG
ENSG00000178562,CD28
ENSG00000121966,CXCR4
ENSG00000163599,CTLA4
ENSG00000174775,HRAS
ENSG00000166888,STAT6
ENSG00000115415,STAT1
ENSG00000113140,SPARC
ENSG00000271503,CCL5
ENSG00000141510,TP53
ENSG00000136634,IL10
ENSG00000168610,STAT3
ENSG00000081237,PTPRC
ENSG00000115956,PLEK
ENSG00000177606,JUN
